0.001953 19999 20040
0.033203 20110 20674
0.064453 20335 21365
0.095703 20739 22093
0.126953 21320 22873
0.158203 22067 23733
0.189453 22924 24581
0.220703 23782 25481
0.251953 24646 26428
0.283203 25597 27470
0.314453 26565 28526
0.345703 27632 29624
0.376953 28709 30770
0.408203 29856 32012
0.439453 31045 33259
0.470703 32319 34605
0.501953 33603 36048
0.533203 34920 37602
0.564453 36321 39101
0.595703 37828 40805
0.626953 39362 42488
0.658203 41003 44076
0.689453 42731 45420
0.720703 44505 46504
0.751953 46273 47200
0.783203 48200 47683
0.814453 50210 47812
0.845703 52241 47507
0.876953 54423 46937
0.908203 56673 46097
0.939453 58994 45045
0.970703 61453 43872
1.001953 63981 42451
1.033203 65989 40583
1.064453 68141 38798
1.095703 70288 36905
1.126953 72528 34907
1.158203 74897 33018
1.189453 77159 31127
1.220703 79696 29269
1.251953 82249 27353
1.283203 84955 25539
1.314453 87690 23611
1.345703 89947 21736
1.376953 90789 20064
1.408203 90300 18709
1.439453 88645 17437
1.470703 86332 16509
1.501953 83196 15714
1.533203 79675 15089
1.564453 75864 14660
1.595703 71879 14413
1.626953 68317 14422
1.658203 64839 14547
1.689453 61706 14838
1.720703 58985 15254
1.751953 56686 15784
1.783203 54648 16342
1.814453 52878 16861
1.845703 51541 17404
1.876953 50480 17949
1.908203 49607 18512
1.939453 49093 19086
1.970703 48875 19655
2.001953 48821 20268
2.033203 49094 20887
2.064453 49720 21543
2.095703 50634 22180
2.126953 51851 22860
2.158203 53401 23600
2.189453 55112 24219
2.220703 56818 24717
2.251953 58556 25072
2.283203 60382 25286
2.314453 62286 25347
2.345703 64229 25281
2.376953 66283 25066
2.408203 68385 24627
2.439453 70578 24045
2.470703 72821 23407
2.501953 75015 22779
2.533203 76738 21858
2.564453 77822 21009
2.595703 78284 20176
2.626953 78215 19479
2.658203 77531 18812
2.689453 76366 18227
2.720703 74892 17737
2.751953 73248 17318
2.783203 71309 17069
2.814453 69534 16956
2.845703 67520 16910
2.876953 65746 16946
2.908203 63932 17081
2.939453 62209 17358
2.970703 60740 17647
3.001953 59538 18083
3.033203 58655 18547
3.064453 58076 19030
3.095703 57750 19538
3.126953 57662 20073
3.158203 57911 20558
3.189453 58295 21005
3.220703 59036 21416
3.251953 59903 21789
3.283203 61078 22092
3.314453 62334 22307
3.345703 63762 22396
3.376953 65287 22331
3.408203 66693 22256
3.439453 68159 22090
3.470703 69433 21848
3.501953 70581 21472
3.533203 71454 21086
3.564453 72085 20747
3.595703 72579 20324
3.626953 72652 19868
3.658203 72480 19426
3.689453 72015 19046
3.720703 71327 18706
3.751953 70421 18552
3.783203 69493 18448
3.814453 68451 18340
3.845703 67537 18231
3.876953 66405 18235
3.908203 65438 18292
3.939453 64376 18379
3.970703 63506 18597
4.001953 62762 18798
4.033203 62226 19067
4.064453 61770 19290
4.095703 61536 19586
4.126953 61375 19855
4.158203 61355 20146
4.189453 61556 20467
4.220703 61878 20715
4.251953 62363 20900
4.283203 63027 21092
4.314453 63766 21179
4.345703 64472 21183
4.376953 65172 21231
4.408203 65918 21206
4.439453 66743 21125
4.470703 67507 21028
4.501953 68198 20918
4.533203 68636 20710
4.564453 69096 20577
4.595703 69481 20310
4.626953 69566 20058
4.658203 69481 19809
4.689453 69299 19575
4.720703 69115 19410
4.751953 68698 19294
4.783203 68297 19201
4.814453 67700 19098
4.845703 67230 19064
4.876953 66637 19064
4.908203 66125 19092
4.939453 65699 19168
4.970703 65318 19268
5.001953 64943 19324
5.033203 64627 19437
5.064453 64263 19554
5.095703 64166 19689
5.126953 64021 19809
5.158203 64014 19921
5.189453 63949 20013
5.220703 64115 20131
5.251953 64369 20190
5.283203 64573 20345
5.314453 64714 20453
5.345703 64992 20520
5.376953 65298 20505
5.408203 65643 20558
5.439453 65987 20546
5.470703 66390 20484
5.501953 66598 20489
5.533203 66807 20419
5.564453 67198 20235
5.595703 67332 20115
5.626953 67390 20074
5.658203 67370 19973
5.689453 67363 19920
5.720703 67260 19803
5.751953 67119 19801
5.783203 66972 19702
5.814453 66748 19621
5.845703 66482 19575
